uf,municipio,d2021,d2022,d2023,d2024
MG,BONFIM,625,744,886,949
MG,BONFINOPOLIS DE MINAS,422,476,590,717
MG,BONITO DE MINAS,264,298,387,476
MG,BORDA DA MATA,1972,2163,2495,2686
MG,BOTELHOS,1458,1737,1940,2075
MG,BOTUMIRIM,344,383,462,566
MG,BRAS PIRES,226,257,302,341
MG,BRASILANDIA DE MINAS,1705,2001,2296,2620
MG,BRASILIA DE MINAS,2340,2453,2791,3094
MG,BRASOPOLIS,1335,1477,1661,1831
MG,BRAUNAS,287,299,383,436
MG,BRUMADINHO,8103,8675,9666,9994
MG,BUENO BRANDAO,867,981,1102,1177
MG,BUENOPOLIS,759,778,957,1038
MG,BUGRE,191,365,357,360
MG,BURITIS,2110,2339,2882,3181
MG,BURITIZEIRO,1732,1869,2419,2743
MG,CABECEIRA GRANDE,654,754,924,998
MG,CABO VERDE,1110,1232,1430,1557
MG,CACHOEIRA DA PRATA,383,396,499,532
MG,CACHOEIRA DE MINAS,1204,1374,1624,1763
MG,CACHOEIRA DE PAJEU,326,368,453,466
MG,CACHOEIRA DOURADA,332,391,504,518
MG,CAETANOPOLIS,1290,1374,1564,1716
MG,CAETE,6905,7329,8425,8900
MG,CAIANA,307,340,416,438
MG,CAJURI,253,272,327,382
MG,CALDAS,1386,1613,1918,1998
MG,CAMACHO,170,213,253,322
MG,CAMANDUCAIA,2482,3071,3622,4037
MG,CAMBUI,4002,4386,5299,5875
MG,CAMBUQUIRA,1384,1564,1858,1935
MG,CAMPANARIO,296,308,373,388
MG,CAMPANHA,1775,1907,2203,2421
MG,CAMPESTRE,1928,2134,2450,2663
MG,CAMPINA VERDE,3116,3416,3875,4058
MG,CAMPO AZUL,120,124,166,181
MG,CAMPO BELO,6090,6571,7815,8536
MG,CAMPO DO MEIO,829,958,1245,1351
MG,CAMPO FLORIDO,1517,1532,1812,1884
MG,CAMPOS ALTOS,1499,1659,1883,2080
MG,CAMPOS GERAIS,3025,3201,3773,4045
MG,CANA VERDE,394,445,513,611
MG,CANAA,280,297,322,379
MG,CANAPOLIS,1078,1123,1412,1650
MG,CANDEIAS,1157,1252,1587,1790
MG,CANTAGALO,188,221,252,307
MG,CAPARAO,414,413,482,518
MG,CAPELA NOVA,212,258,296,374
MG,CAPELINHA,3150,3540,4397,4822
MG,CAPETINGA,515,536,632,695
MG,CAPIM BRANCO,1185,1367,1720,1837
MG,CAPINOPOLIS,1987,2230,2757,3040
MG,CAPITAO ANDRADE,287,346,391,438
MG,CAPITAO ENEAS,777,953,1146,1386
MG,CAPITOLIO,1435,1629,1826,1926
MG,CAPUTIRA,461,533,643,695
MG,CARAI,579,657,837,940
MG,CARANAIBA,190,201,282,332
MG,CARANDAI,2697,2955,3601,3999
MG,CARANGOLA,4119,4243,4722,5119
MG,CARATINGA,11668,12742,14500,15218
MG,CARBONITA,730,919,1050,1189
MG,CAREACU,583,660,786,841
MG,CARLOS CHAGAS,2135,2178,2560,2548
MG,CARMESIA,192,230,282,322
MG,CARMO DA CACHOEIRA,1063,1168,1353,1451
MG,CARMO DA MATA,941,1078,1474,1691
MG,CARMO DE MINAS,1163,1309,1602,1740
MG,CARMO DO CAJURU,2357,2841,3482,3819
MG,CARMO DO PARANAIBA,4304,4724,5510,5990
MG,CARMO DO RIO CLARO,2292,2537,2924,3101
MG,CARMOPOLIS DE MINAS,1881,2121,2476,2659
MG,CARNEIRINHO,1618,1791,2178,2348
MG,CARRANCAS,431,475,558,613
MG,CARVALHOPOLIS,339,381,424,510
MG,CARVALHOS,285,319,389,440
MG,CASA GRANDE,197,266,306,342
MG,CASCALHO RICO,305,342,411,500
MG,CASSIA,2259,2411,2713,2851
MG,CATAGUASES,9424,10077,11616,12263
MG,CATAS ALTAS,927,1027,1169,1280
MG,CATAS ALTAS DA NORUEGA,152,195,218,265
MG,CATUJI,331,353,454,497
MG,CATUTI,153,132,213,255
MG,CAXAMBU,3579,3672,4026,4258
MG,CEDRO DO ABAETE,105,100,127,147
MG,CENTRAL DE MINAS,694,709,802,828
MG,CENTRALINA,899,1004,1323,1437
MG,CHACARA,219,239,302,327
MG,CHALE,350,401,457,510
MG,CHAPADA DO NORTE,460,535,650,752
MG,CHAPADA GAUCHA,875,980,1180,1318
MG,CHIADOR,214,251,296,314
MG,CIPOTANEA,224,219,250,323
MG,CLARAVAL,575,581,638,676
MG,CLARO DOS POCOES,364,391,409,502
MG,CLAUDIO,3124,3608,4563,5000
MG,COIMBRA,708,777,861,948
MG,COLUNA,388,406,509,547
MG,COMENDADOR GOMES,289,332,435,417
MG,COMERCINHO,275,290,430,603
MG,CONCEICAO DA APARECIDA,822,915,1111,1164
MG,CONCEICAO DA BARRA DE MINAS,252,267,328,448
MG,CONCEICAO DAS ALAGOAS,4859,5062,5744,6328
MG,CONCEICAO DAS PEDRAS,191,252,287,314
MG,CONCEICAO DE IPANEMA,200,209,284,320
MG,CONCEICAO DO MATO DENTRO,2797,3110,3776,4320
MG,CONCEICAO DO PARA,535,593,749,820
MG,CONCEICAO DO RIO VERDE,1142,1237,1454,1596
MG,CONCEICAO DOS OUROS,1076,1173,1369,1439
MG,CONEGO MARINHO,196,196,275,321
MG,CONFINS,1331,1450,1779,1927
MG,CONGONHAL,1032,1180,1492,1648
MG,CONGONHAS,10779,11650,13914,14918
MG,CONGONHAS DO NORTE,286,303,381,438
MG,CONQUISTA,1332,1390,1630,1696
MG,CONSELHEIRO LAFAIETE,28200,30383,35417,37546
MG,CONSELHEIRO PENA,2461,2652,3528,3270
MG,CONSOLACAO,97,111,141,155
MG,CONTAGEM,130934,138941,158905,166723
MG,COQUEIRAL,788,811,938,1139
MG,CORACAO DE JESUS,1022,1181,1386,1512
MG,CORDISBURGO,643,691,811,860
MG,CORDISLANDIA,255,312,375,394
MG,CORINTO,2270,2392,2713,2903
MG,COROACI,519,587,656,732
MG,COROMANDEL,4233,4551,5426,6031
MG,CORONEL FABRICIANO,17530,19065,21853,23589
MG,CORONEL MURTA,372,413,600,607
MG,CORONEL PACHECO,268,298,348,384
MG,CORONEL XAVIER CHAVES,314,360,421,438
MG,CORREGO DANTA,317,351,413,464
MG,CORREGO DO BOM JESUS,391,437,545,598
MG,CORREGO FUNDO,552,628,867,955
MG,CORREGO NOVO,170,185,211,213
MG,COUTO DE MAGALHAES DE MINAS,267,291,377,452
MG,CRISOLITA,172,189,247,268
MG,CRISTAIS,707,797,972,1018
MG,CRISTALIA,255,286,326,415
MG,CRISTIANO OTONI,517,607,729,832
MG,CRISTINA,756,887,1052,1112
MG,CRUCILANDIA,424,433,502,569
MG,CRUZEIRO DA FORTALEZA,513,522,667,761
MG,CRUZILIA,1448,1537,1854,2038
MG,CUPARAQUE,436,479,509,563
MG,CURRAL DE DENTRO,442,487,593,678
MG,CURVELO,9151,9781,11640,12824
MG,DATAS,310,407,461,523
MG,DELFIM MOREIRA,620,687,833,910
MG,DELFINOPOLIS,769,894,1085,1161
MG,DELTA,1281,1472,1606,1980
MG,DESCOBERTO,315,349,429,453
MG,DESTERRO DE ENTRE RIOS,673,688,837,999
MG,DESTERRO DO MELO,221,249,378,336
MG,DIAMANTINA,7540,7795,8888,9489
MG,DIOGO DE VASCONCELOS,159,173,204,227
MG,DIONISIO,565,835,1069,845
MG,DIVINESIA,238,269,377,431
MG,DIVINO,1337,1535,1793,2009
MG,DIVINO DAS LARANJEIRAS,379,392,489,524
MG,DIVINOLANDIA DE MINAS,414,478,639,653
MG,DIVINOPOLIS,41542,44628,50376,52924
MG,DIVISA ALEGRE,385,434,554,561
MG,DIVISA NOVA,377,441,582,680
MG,DIVISOPOLIS,357,367,400,493
MG,DOM BOSCO,220,252,338,400
MG,DOM CAVATI,532,643,727,727
MG,DOM JOAQUIM,419,454,572,677
MG,DOM SILVERIO,427,496,596,651
MG,DOM VICOSO,204,208,297,342
MG,DONA EUZEBIA,495,533,606,637
MG,DORES DE CAMPOS,824,926,1048,1115
MG,DORES DE GUANHAES,390,428,525,607
MG,DORES DO INDAIA,1777,1882,2173,2238
MG,DORES DO TURVO,290,343,423,529
MG,DORESOPOLIS,128,153,185,210
MG,DOURADOQUARA,199,220,252,295
MG,DURANDE,420,435,520,613
MG,ELOI MENDES,3019,3344,3806,4212
MG,ENGENHEIRO CALDAS,768,864,942,935
MG,ENGENHEIRO NAVARRO,332,357,467,586
MG,ENTRE FOLHAS,366,407,513,566
MG,ENTRE RIOS DE MINAS,2030,2224,2575,2786
MG,ERVALIA,1148,1230,1505,1748
MG,ESMERALDAS,7716,8524,10491,11504
MG,ESPERA FELIZ,2258,2454,2951,3175
MG,ESPINOSA,1531,1671,2071,2269
MG,ESPIRITO SANTO DO DOURADO,268,290,361,402
MG,ESTIVA,918,1098,1290,1464
MG,ESTRELA DALVA,204,198,250,259
MG,ESTRELA DO INDAIA,292,314,389,404
MG,ESTRELA DO SUL,626,738,928,1042
MG,EUGENOPOLIS,1068,1074,1186,1322
MG,EWBANK DA CAMARA,297,339,418,484
MG,EXTREMA,7064,8653,11085,12493
MG,FAMA,280,302,359,376
MG,FARIA LEMOS,282,292,372,403
MG,FELICIO DOS SANTOS,240,248,336,434
MG,FELISBURGO,354,472,519,527
MG,FELIXLANDIA,1338,1440,1808,2062
MG,FERNANDES TOURINHO,190,303,288,272
MG,FERROS,637,663,822,891
MG,FERVEDOURO,437,466,596,674
MG,FLORESTAL,1551,1608,1912,1982
MG,FORMIGA,10519,11551,13315,14306
MG,FORMOSO,430,462,559,641
MG,FORTALEZA DE MINAS,400,433,473,555
MG,FORTUNA DE MINAS,258,277,366,395
MG,FRANCISCO BADARO,323,345,440,516
MG,FRANCISCO DUMONT,162,211,269,311
MG,FRANCISCO SA,1346,1395,1671,1823
MG,FRANCISCOPOLIS,160,215,281,312
MG,FREI GASPAR,205,239,311,373
MG,FREI INOCENCIO,735,729,807,951
MG,FREI LAGONEGRO,110,118,164,225
MG,FRONTEIRA,1761,1997,2373,2526
MG,FRONTEIRA DOS VALES,179,206,238,276
MG,FRUTA DE LEITE,129,166,177,267
MG,FRUTAL,9245,10199,12024,13092
MG,FUNILANDIA,307,348,459,493
MG,GALILEIA,509,994,795,722
MG,GAMELEIRAS,216,210,272,330
MG,GLAUCILANDIA,125,150,194,230
MG,GOIABEIRA,344,405,452,465
MG,GOIANA,395,423,496,545
MG,GONCALVES,497,555,671,711
MG,GONZAGA,294,310,371,398
MG,GOUVEIA,1021,1152,1323,1472
MG,GOVERNADOR VALADARES,47093,49869,55253,57493
MG,GRAO MOGOL,719,741,977,1127
MG,GRUPIARA,151,170,208,238
MG,GUANHAES,3797,4140,4941,5343
MG,GUAPE,923,1124,1400,1589
MG,GUARACIABA,542,601,709,788
MG,GUARACIAMA,192,254,373,409
MG,GUARANESIA,1941,2242,2712,3037
MG,GUARANI,803,779,977,984
MG,GUARARA,280,317,366,425
MG,GUARDA-MOR,610,758,1023,1079
MG,GUAXUPE,8619,9227,10619,11146
MG,GUIDOVAL,587,639,795,803
MG,GUIMARANIA,707,806,1002,1162
MG,GUIRICEMA,652,690,764,837
MG,GURINHATA,655,696,785,818
MG,HELIODORA,448,556,664,695
MG,IAPU,1094,1194,1390,1429
MG,IBERTIOGA,272,304,448,554
MG,IBIA,3082,3279,3837,4078
MG,IBIAI,282,332,373,423
MG,IBIRACATU,177,175,377,268
MG,IBIRACI,1262,1376,1582,1649
MG,IBIRITE,20029,22823,27300,29783
MG,IBITIURA DE MINAS,353,375,436,468
MG,IBITURUNA,248,260,296,336
MG,ICARAI DE MINAS,274,320,425,487
MG,IGARAPE,6020,6733,8134,9070
MG,IGARATINGA,793,920,1116,1207
MG,IGUATAMA,1023,1031,1243,1322
MG,IJACI,801,888,1106,1245
MG,ILICINEA,795,878,1092,1244
MG,IMBE DE MINAS,318,369,471,524
MG,INCONFIDENTES,721,785,902,1005
MG,INDAIABIRA,180,206,227,262
MG,INDIANOPOLIS,722,780,951,1092
MG,INGAI,179,192,245,301
MG,INHAPIM,1887,2163,2547,2676
MG,INHAUMA,499,583,744,808
MG,INIMUTABA,351,384,529,621
MG,IPABA,1357,1971,2395,2352
MG,IPANEMA,1684,1888,2281,2376
MG,IPATINGA,47722,50869,57613,60268
MG,IPIACU,404,436,535,604
MG,IPUIUNA,1145,1230,1368,1469
MG,IRAI DE MINAS,997,1125,1415,1596
MG,ITABIRA,22749,25455,29337,31685
MG,ITABIRINHA,956,1026,1214,1299
MG,ITABIRITO,10775,12027,14288,15585
MG,ITACAMBIRA,154,162,217,277
MG,ITACARAMBI,1046,1175,1486,1623
MG,ITAGUARA,1467,1639,1958,2095
MG,ITAIPE,580,685,777,793
MG,ITAJUBA,18718,20128,22298,23256
MG,ITAMARANDIBA,2164,2625,3117,3428
MG,ITAMARATI DE MINAS,438,461,476,480
MG,ITAMBACURI,1721,1831,2101,2333
MG,ITAMBE DO MATO DENTRO,147,169,185,233
MG,ITAMOGI,1146,1268,1452,1657
MG,ITAMONTE,1828,1983,2247,2390
MG,ITANHANDU,2232,2416,2774,2895
MG,ITANHOMI,1226,1296,1439,1597
MG,ITAOBIM,1547,1648,1910,2095
MG,ITAPAGIPE,2198,2381,2804,3059
MG,ITAPECERICA,2353,2563,3007,3267
MG,ITAPEVA,1336,1569,1975,2287
MG,ITATIAIUCU,1556,1969,2724,3005
MG,ITAU DE MINAS,2319,2524,3056,3054
MG,ITAUNA,17736,19523,22907,23775
MG,ITAVERAVA,248,277,348,402
MG,ITINGA,494,607,805,860
MG,ITUETA,545,823,729,685
MG,ITUIUTABA,16287,17469,19809,21277
MG,ITUMIRIM,643,749,918,980
MG,ITURAMA,8529,9205,10362,10849
MG,ITUTINGA,325,370,499,548
MG,JABOTICATUBAS,1814,1984,2310,2499
MG,JACINTO,602,607,669,777
MG,JACUI,600,663,814,967
MG,JACUTINGA,3314,3687,4397,4656
MG,JAGUARACU,295,322,393,434
MG,JAIBA,2036,2314,3207,3718
MG,JAMPRUCA,243,267,330,368
MG,JANAUBA,7512,7750,9322,10031
MG,JANUARIA,6176,6385,7097,7677
MG,JAPARAIBA,465,528,654,726
MG,JAPONVAR,273,312,364,384
MG,JECEABA,755,790,1006,1101
MG,JENIPAPO DE MINAS,284,336,398,507
MG,JEQUERI,621,681,842,915
MG,JEQUITAI,427,460,590,607
MG,JEQUITIBA,343,336,420,480
MG,JEQUITINHONHA,1544,1563,1855,1961
MG,JESUANIA,361,397,471,534
MG,JOAIMA,616,655,778,902
MG,JOANESIA,337,385,504,539
MG,JOAO MONLEVADE,14166,15483,17962,19148
MG,JOAO PINHEIRO,5517,5989,7137,7553
MG,JOAQUIM FELICIO,274,346,358,394
MG,JORDANIA,487,486,571,661
MG,JOSE GONCALVES DE MINAS,202,265,346,444
MG,JOSE RAYDAN,170,222,262,375
MG,JOSENOPOLIS,157,231,331,359
MG,JUATUBA,3482,3914,4934,5325
MG,JUIZ DE FORA,120247,125671,138751,143241
MG,JURAMENTO,165,209,244,305
MG,JURUAIA,894,1070,1216,1299
MG,JUVENILIA,206,256,323,377
MG,LADAINHA,508,550,719,772
MG,LAGAMAR,862,922,1077,1127
MG,LAGOA DA PRATA,6729,7328,8383,8945
MG,LAGOA DOS PATOS,157,169,190,272
MG,LAGOA DOURADA,929,1051,1275,1362
MG,LAGOA FORMOSA,1632,1906,2363,2733
MG,LAGOA GRANDE,899,937,1091,1170
MG,LAGOA SANTA,15181,16897,19568,20981
MG,LAJINHA,1597,1650,1875,2024
MG,LAMBARI,2165,2414,2717,2926
MG,LAMIM,227,249,290,328
MG,LARANJAL,602,595,707,768
MG,LASSANCE,328,374,509,559
MG,LAVRAS,18775,20059,22819,24274
MG,LEANDRO FERREIRA,275,316,349,403
MG,LEME DO PRADO,355,391,518,583
MG,LEOPOLDINA,6431,6866,7646,8085
MG,LIBERDADE,441,457,546,599
MG,LIMA DUARTE,1435,1593,1890,2054
MG,LIMEIRA DO OESTE,1702,1881,2261,2548
MG,LONTRA,383,514,520,654
MG,LUISBURGO,302,286,319,452
MG,LUISLANDIA,186,227,286,346
MG,LUMINARIAS,435,481,579,647
MG,LUZ,2714,2842,3474,3564
MG,MACHACALIS,647,646,733,749
MG,MACHADO,5161,5586,6262,6772
MG,MADRE DE DEUS DE MINAS,433,484,663,760
MG,MALACACHETA,1217,1353,1569,1810
MG,MAMONAS,160,153,171,233
MG,MANGA,1249,1402,1599,1641
MG,MANHUACU,10619,11196,12868,13792
MG,MANHUMIRIM,2277,2411,2805,2998
MG,MANTENA,2783,3025,3405,3534
MG,MAR DE ESPANHA,975,1063,1309,1402
MG,MARAVILHAS,520,633,756,819
MG,MARIA DA FE,1197,1446,1710,1847
MG,MARIANA,11815,12931,15576,16573
MG,MARILAC,218,241,274,321
MG,MARIO CAMPOS,2021,2118,2470,2722
MG,MARIPA DE MINAS,239,289,343,372
MG,MARLIERIA,364,427,538,558
MG,MARMELOPOLIS,190,226,269,296
MG,MARTINHO CAMPOS,1499,1659,2024,2130
MG,MARTINS SOARES,394,454,549,615
MG,MATA VERDE,396,411,428,479
MG,MATERLANDIA,219,220,267,304
MG,MATEUS LEME,3917,4377,5598,6113
MG,MATHIAS LOBATO,178,179,212,235
MG,MATIAS BARBOSA,2182,2248,2606,2721
MG,MATIAS CARDOSO,288,302,397,483
MG,MATIPO,1305,1536,1569,1725
MG,MATO VERDE,659,715,848,969
MG,MATOZINHOS,5651,6358,7667,8115
MG,MATUTINA,499,545,672,780
MG,MEDEIROS,227,323,380,426
MG,MEDINA,1267,1328,1605,1769
MG,MENDES PIMENTEL,493,540,630,689
MG,MERCES,570,674,773,883
MG,MESQUITA,510,606,720,723
MG,MINAS NOVAS,1464,1615,1856,2303
MG,MINDURI,314,349,436,461
MG,MIRABELA,664,701,834,924
MG,MIRADOURO,648,692,823,903
MG,MIRAI,1003,1088,1276,1394
MG,MIRAVANIA,164,173,220,246
MG,MOEDA,738,696,865,923
MG,MOEMA,792,862,1006,1067
MG,MONJOLOS,128,142,158,179
MG,MONSENHOR PAULO,774,858,969,1027
MG,MONTALVANIA,975,1015,1204,1291
MG,MONTE ALEGRE DE MINAS,2302,2584,3118,3320
MG,MONTE AZUL,1396,1410,1636,1845
MG,MONTE BELO,1259,1436,1787,1945
MG,MONTE CARMELO,6420,7136,8220,8698
MG,MONTE FORMOSO,115,181,199,224
MG,MONTE SANTO DE MINAS,2516,2649,3024,3249
MG,MONTE SIAO,2755,2990,3479,3705
MG,MONTES CLAROS,60954,65086,73009,77568
MG,MONTEZUMA,275,339,420,463
MG,MORADA NOVA DE MINAS,976,1069,1409,1547
MG,MORRO DA GARCA,98,127,179,213
MG,MORRO DO PILAR,212,221,272,307
MG,MUNHOZ,505,575,676,762
MG,MURIAE,16087,17067,19083,20300
MG,MUTUM,1661,1909,2183,2504
MG,MUZAMBINHO,2872,3036,3462,3664
MG,NACIP RAYDAN,138,159,182,203
MG,NANUQUE,4699,4909,5648,5882
MG,NAQUE,973,1574,1033,892
MG,NATALANDIA,261,326,439,471
MG,NATERCIA,390,464,550,624
MG,NAZARENO,710,826,995,1162
MG,NEPOMUCENO,2380,2559,3005,3278
MG,NINHEIRA,292,370,433,554
MG,NOVA BELEM,155,185,229,236
MG,NOVA ERA,3023,3198,3712,3996
MG,NOVA LIMA,34002,36080,39370,41412
MG,NOVA MODICA,292,297,345,402
MG,NOVA PONTE,2549,2744,3214,3550
MG,NOVA PORTEIRINHA,243,276,361,386
MG,NOVA RESENDE,1100,1206,1406,1568
MG,NOVA SERRANA,6150,7291,9374,10973
MG,NOVA UNIAO,413,513,613,686
MG,NOVO CRUZEIRO,1356,1386,1713,2010
MG,NOVO ORIENTE DE MINAS,564,628,651,731
MG,NOVORIZONTE,154,190,254,300
MG,OLARIA,104,134,161,192
MG,OLHOS-DAGUA,279,282,356,409
MG,OLIMPIO NORONHA,207,276,366,400
MG,OLIVEIRA,5036,5454,6410,7068
MG,OLIVEIRA FORTES,126,142,192,203
MG,ONCA DE PITANGUI,192,201,293,318
MG,ORATORIOS,352,394,553,604
MG,ORIZANIA,326,347,456,550
MG,OURO BRANCO,9638,10240,11997,12732
MG,OURO FINO,4492,4829,5433,5794
MG,OURO PRETO,13416,14691,16940,17851
MG,OURO VERDE DE MINAS,291,304,327,415
MG,PADRE CARVALHO,195,221,264,283
MG,PADRE PARAISO,938,1046,1326,1452
MG,PAI PEDRO,173,193,257,288
MG,PAINEIRAS,523,559,655,731
MG,PAINS,1001,1154,1381,1549
MG,PAIVA,118,127,168,186
MG,PALMA,633,615,669,735
MG,PALMOPOLIS,263,275,363,380
MG,PAPAGAIOS,1036,1145,1397,1524
MG,PARA DE MINAS,15159,16679,19980,21239
MG,PARACATU,15498,17171,20341,22145
MG,PARAGUACU,2214,2361,2772,2872
MG,PARAISOPOLIS,2495,2855,3561,3728
MG,PARAOPEBA,2953,3265,3757,4142
MG,PASSA QUATRO,2097,2209,2520,2699
MG,PASSA TEMPO,792,893,1086,1171
MG,PASSA VINTE,183,207,230,257
MG,PASSABEM,129,152,160,202
MG,PASSOS,17605,18990,21550,22724
MG,PATIS,168,190,198,192
MG,PATOS DE MINAS,30008,32928,38280,41310
MG,PATROCINIO,14304,16025,18517,20233
MG,PATROCINIO DO MURIAE,549,524,619,689
MG,PAULA CANDIDO,525,578,679,811
MG,PAULISTAS,231,260,297,336
MG,PAVAO,604,624,689,717
MG,PECANHA,1006,1080,1298,1400
MG,PEDRA AZUL,1769,1829,2118,2297
MG,PEDRA BONITA,205,229,283,284
MG,PEDRA DO ANTA,211,227,314,368
MG,PEDRA DO INDAIA,322,336,390,431
MG,PEDRA DOURADA,167,176,230,242
MG,PEDRALVA,1079,1203,1350,1493
MG,PEDRAS DE MARIA DA CRUZ,323,360,470,557
MG,PEDRINOPOLIS,559,577,702,801
MG,PEDRO LEOPOLDO,10550,11151,13064,13891
MG,PEDRO TEIXEIRA,89,103,131,159
MG,PEQUERI,330,338,426,445
MG,PEQUI,414,429,524,582
MG,PERDIGAO,1076,1195,1554,1664
MG,PERDIZES,2474,2752,3316,3683
MG,PERDOES,2897,3071,3392,3671
MG,PERIQUITO,413,1956,981,813
MG,PESCADOR,256,278,318,361
MG,PIAU,204,223,257,319
MG,PIEDADE DE CARATINGA,453,570,741,731
MG,PIEDADE DE PONTE NOVA,299,321,428,466
MG,PIEDADE DO RIO GRANDE,304,351,412,536
MG,PIEDADE DOS GERAIS,273,318,398,455
MG,PIMENTA,769,1002,1172,1315
MG,PINGO DAGUA,272,411,414,459
MG,PINTOPOLIS,196,289,352,444
MG,PIRACEMA,513,572,723,828
MG,PIRAJUBA,1080,1107,1332,1425
MG,PIRANGA,980,1060,1254,1395
MG,PIRANGUCU,513,621,716,766
MG,PIRANGUINHO,1344,1517,1733,1879
MG,PIRAPETINGA,1124,1183,1380,1517
MG,PIRAPORA,7239,7715,9069,9700
MG,PIRAUBA,991,1037,1255,1360
MG,PITANGUI,3876,4151,4758,4974
MG,PIUMHI,5044,5608,6354,6932
MG,PLANURA,1576,1726,2557,2900
MG,POCO FUNDO,1386,1547,1809,1999
MG,POCOS DE CALDAS,36121,38578,43669,45908
MG,POCRANE,580,640,693,792
MG,POMPEU,3573,3826,4539,5012
MG,PONTE NOVA,8907,9711,11091,11429
MG,PONTO CHIQUE,166,194,255,275
MG,PONTO DOS VOLANTES,348,426,527,601
MG,PORTEIRINHA,2276,2543,2960,3327
MG,PORTO FIRME,488,518,638,744
MG,POTE,854,897,1072,1187
MG,POUSO ALEGRE,31632,34448,39926,42588
MG,POUSO ALTO,582,647,763,788
MG,PRADOS,692,792,857,957
MG,PRATA,3356,3860,4754,5080
MG,PRATAPOLIS,1002,1106,1349,1437
MG,PRATINHA,322,339,435,502
MG,PRESIDENTE BERNARDES,313,338,391,458
MG,PRESIDENTE JUSCELINO,176,181,256,271
MG,PRESIDENTE KUBITSCHEK,154,225,253,284
MG,PRESIDENTE OLEGARIO,1898,2086,2649,2903
MG,PRUDENTE DE MORAIS,1250,1391,1768,1953
MG,QUARTEL GERAL,277,292,348,402
MG,QUELUZITO,141,183,252,281
MG,RAPOSOS,2703,3008,3438,3741
MG,RAUL SOARES,2105,2287,2612,2775
MG,RECREIO,869,890,1023,1037
MG,REDUTO,421,477,571,651
MG,RESENDE COSTA,1016,1150,1314,1457
MG,RESPLENDOR,1774,2655,2362,2308
MG,RESSAQUINHA,329,341,452,510
MG,RIACHINHO,381,451,545,643
MG,RIACHO DOS MACHADOS,504,660,802,921
MG,RIBEIRAO DAS NEVES,31053,34481,42192,46143
MG,RIBEIRAO VERMELHO,534,583,702,731
MG,RIO ACIMA,1386,1585,1840,2034
MG,RIO CASCA,1605,1772,1935,2001
MG,RIO DO PRADO,375,402,454,415
MG,RIO DOCE,296,845,538,674
MG,RIO ESPERA,241,254,308,337
MG,RIO MANSO,638,676,817,874
MG,RIO NOVO,728,764,883,944
MG,RIO PARANAIBA,1705,1985,2431,2741
MG,RIO PARDO DE MINAS,1118,1432,1727,1883
MG,RIO PIRACICABA,1971,2280,2600,2832
MG,RIO POMBA,1999,2061,2294,2411
MG,RIO PRETO,497,512,570,594
MG,RIO VERMELHO,619,617,759,929
MG,RITAPOLIS,437,483,587,645
MG,ROCHEDO DE MINAS,155,180,206,243
MG,RODEIRO,553,651,811,894
MG,ROMARIA,402,468,560,638
MG,ROSARIO DA LIMEIRA,313,315,425,495
MG,RUBELITA,207,254,355,369
MG,RUBIM,514,636,654,677
MG,SABARA,19413,20734,24299,26009
MG,SABINOPOLIS,1014,1092,1263,1439
MG,SACRAMENTO,4136,4699,5668,6162
MG,SALINAS,3651,3881,4534,5301
MG,SALTO DA DIVISA,457,547,492,538
MG,SANTA BARBARA,5403,6018,6644,7239
MG,SANTA BARBARA DO LESTE,456,494,597,637
MG,SANTA BARBARA DO MONTE VERDE,174,193,238,261
MG,SANTA BARBARA DO TUGURIO,212,255,328,405
MG,SANTA CRUZ DE MINAS,687,733,864,935
MG,SANTA CRUZ DE SALINAS,125,139,180,209
MG,SANTA CRUZ DO ESCALVADO,289,1231,895,788
MG,SANTA EFIGENIA DE MINAS,240,277,373,374
MG,SANTA FE DE MINAS,158,159,197,270
MG,SANTA HELENA DE MINAS,272,291,360,463
MG,SANTA JULIANA,2174,2616,3212,3523
MG,SANTA LUZIA,29203,32270,38357,41093
MG,SANTA MARGARIDA,913,999,1161,1382
MG,SANTA MARIA DE ITABIRA,911,1068,1350,1512
MG,SANTA MARIA DO SALTO,229,261,288,322
MG,SANTA MARIA DO SUACUI,1074,1169,1267,1391
MG,SANTA RITA DE CALDAS,1058,1162,1394,1478
MG,SANTA RITA DE IBITIPOCA,192,227,288,335
MG,SANTA RITA DE JACUTINGA,413,473,569,618
MG,SANTA RITA DE MINAS,450,493,616,713
MG,SANTA RITA DO ITUETO,304,356,416,450
MG,SANTA RITA DO SAPUCAI,7211,7750,8838,9073
MG,SANTA ROSA DA SERRA,294,344,448,510
MG,SANTA VITORIA,3704,3976,4559,5005
MG,SANTANA DA VARGEM,638,727,866,1038
MG,SANTANA DE CATAGUASES,267,276,318,347
MG,SANTANA DE PIRAPAMA,368,396,481,516
MG,SANTANA DO DESERTO,301,337,438,424
MG,SANTANA DO GARAMBEU,122,150,234,251
MG,SANTANA DO JACARE,363,377,459,510
MG,SANTANA DO MANHUACU,389,425,584,682
MG,SANTANA DO PARAISO,7084,8211,9588,10325
MG,SANTANA DO RIACHO,439,503,581,686
MG,SANTANA DOS MONTES,111,176,248,264
MG,SANTO ANTONIO DO AMPARO,1527,1706,1971,2323
MG,SANTO ANTONIO DO AVENTUREIRO,254,285,350,345
MG,SANTO ANTONIO DO GRAMA,402,443,513,578
MG,SANTO ANTONIO DO ITAMBE,142,185,218,235
